Comment,Designator,Footprint,LCSC
100n,"C2,C4",C_0603_1608Metric,C1591
DRV8874PWPR,"U2,U3",SOP65P640X120-17N,C1855818
22n,"C1,C3",C_0603_1608Metric,C21122
100,"R4,R5",R_0603_1608Metric,C22775
12k,R1,R_0603_1608Metric,C22790
2.4k,R2,R_0603_1608Metric,C465465
10u,C5,C_0603_1608Metric,C70225
0.1u,C6,C_0603_1608Metric,C710755
Power,J1,AMASS_XT30U-F_1x02_P5.0mm_Vertical,C99101
